,Company,TradeName,Address,ZipCode,DunsNumber,HQDuns,HQTradeName,Subsidiary,Latitude,Longitude,SIC2,SIC4,SIC8,Industry,IndustryGroup,YearStart,OutofBis,FirstYear,LastYear,Minority,WomenOwned,Sales90,SalesC90,Sales91,SalesC91,Sales92,SalesC92,Sales93,SalesC93,Sales94,SalesC94,Sales95,SalesC95,Sales96,SalesC96,Sales97,SalesC97,Sales98,SalesC98,Sales99,SalesC99,Sales00,SalesC00,Sales01,SalesC01,Sales02,SalesC02,Sales03,SalesC03,Sales04,SalesC04,Sales05,SalesC05,Sales06,SalesC06,Sales07,SalesC07,Sales08,SalesC08,Sales09,SalesC09,Sales10,SalesC10,Sales11,SalesC11,Sales12,SalesC12,Sales13,SalesC13,Sales14,SalesC14,DnBRating91,DnBRating92,DnBRating93,DnBRating94,DnBRating95,DnBRating96,DnBRating97,DnBRating98,DnBRating99,DnBRating00,DnBRating01,DnBRating02,DnBRating03,DnBRating04,DnBRating05,DnBRating06,DnBRating07,DnBRating08,DnBRating09,DnBRating10,DnBRating11,DnBRating12,DnBRating13,DnBRating14
30,HARVEST FRESH CATFISH CO INC,NA,1731 N SPRING ST,90012,1107528,1107528,NA,N,34.0702,118.2259,58,5812,58120700,Seafood restaurants,Eating and Drinking Places,2000,NA,2000,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60000,3,66700,3,60000,3,60000,3,62500,3,50000,3,50200,3,50000,3,50000,3,50000,3,50000,3,50000,3,50000,3,50000,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,--,--,--,--,--,--,--,--,--
161,TWO GUYS FROM ITALY,NA,6676 YUCCA ST,90028,1447358,1447358,NA,N,34.1031,118.3356,58,5812,58120108,Italian restaurant,Eating and Drinking Places,1970,NA,1989,2001,NA,Y,475000,3,508900,3,508900,3,518200,3,534400,3,545200,3,554200,3,570000,3,633300,3,633300,3,633300,3,633300,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
267,NOTIVEL ENTERPRISES INC,ARBYS,5920 W SUNSET BLVD,90028,1678213,848095001,ARBYS,N,34.0979,118.3187,58,5812,58120307,"Fast-food restaurant, chain",Eating and Drinking Places,NA,NA,2004,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,920000,3,920000,3,9.00E+05,3,9.00E+05,3,883300,3,875000,3,880000,3,875000,3,890000,3,9.00E+05,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
355,PHO ABC,NA,928 S WESTERN AVE STE 117,90006,1696702,1696702,NA,N,34.0548,118.3089,58,5812,58120116,Vietnamese restaurant,Eating and Drinking Places,2000,NA,2000,2014,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88000,3,95000,3,96700,3,95000,3,87500,3,81800,3,83300,3,40000,3,40000,3,40300,3,40000,3,40000,3,41800,3,42500,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DS,DS,DS,DS,DS,DS,DS,DS,DS,DS,DS
483,EL PAIZA MEXICAN FOOD,NA,106 N AVENUE 58,90042,1770465,1770465,NA,N,34.1101,118.1921,58,5812,58120112,Mexican restaurant,Eating and Drinking Places,2000,NA,2000,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70000,3,80000,3,83300,3,83300,3,75000,3,70000,3,70000,3,68800,3,67000,3,70000,3,68800,3,75000,3,75000,3,75000,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DS,DS,DS,DS,DS,DS,DS,DS,DS,DS
489,EMY BURGERS,NA,7315 COMPTON AVE,90001,1771240,1771240,NA,N,33.9737,118.2478,58,5812,58120308,"Fast-food restaurant, independent",Eating and Drinking Places,2000,NA,2000,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164700,3,194000,3,2.00E+05,3,2.00E+05,3,2.00E+05,3,2.00E+05,3,194000,3,2.00E+05,3,2.00E+05,3,164000,3,2.00E+05,3,2.00E+05,3,164000,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DS,DS,DS,DS,DS,DS,DS,DS,NA
646,LE MANDARETTE,NA,1651 3/4 N LA BREA AVE,90028,1789895,1789895,NA,N,34.1012,118.3452,58,5812,58120103,Chinese restaurant,Eating and Drinking Places,2000,NA,2000,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,183300,3,187500,3,2.00E+05,3,2.00E+05,3,194400,3,194400,3,187500,3,187500,3,187500,3,187500,3,188900,3,187500,3,194400,3,2.00E+05,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DS,NA,DS,NA,DS,DS,DS,DS,DS
676,TOTO FOODS INC,NA,4420 EAGLE ROCK BLVD,90041,1792311,1792311,NA,N,34.1246,118.2199,87,8742,87420407,Restaurant and food services consultants,Management and Public Relations,1989,NA,1989,2009,NA,NA,75000,3,80000,3,80000,3,76900,3,77800,3,80000,3,83300,3,87700,3,96200,3,1.00E+05,3,1.00E+05,3,93300,3,1397700,3,1431500,3,1400100,3,1384600,3,1393300,3,1351200,3,1363600,3,1350000,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DS,DS,DS,--,--,--,--,--,--,NA,NA,NA,NA,NA
689,DENNYS INC,DENNYS,3060 N SAN FERNANDO RD,90065,1800734,608163747,DENNYS,N,34.1141,118.2453,58,5812,58120501,"Restaurant, family: chain",Eating and Drinking Places,NA,NA,2000,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1691300,3,1694400,3,1769000,3,1830000,3,1650000,3,1650000,3,1650000,3,1650000,3,1630600,3,1650000,3,1650000,3,1650000,3,1650000,3,1607700,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
692,ARNELLE SLS REST EQP SUPS LLC,ARNELLE SALES REST EQP & SUP,573 S FAIRFAX AVE,90036,1802052,1802052,ARNELLE SALES REST EQP & SUP,N,34.0653,118.3615,50,5087,50879908,Restaurant supplies,"Machinery, Equipment, and Supplies",1999,NA,1999,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.00E+05,3,3.00E+05,0,3.00E+05,0,360000,0,3.00E+05,0,276000,3,250000,0,250000,0,2.00E+05,1,2.00E+05,1,2.00E+05,1,2.00E+05,1,2.00E+05,1,2.00E+05,1,2.00E+05,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2R3,2R3,2R3,2R2,2R2,2R2,2R2,2R2,2R2
709,CKE RESTAURANTS INC,LA SALSA FRESH MEXICAN GRILL,11077 W PICO BLVD,90064,1814037,876720715,CARLS JR,N,34.0373,118.4348,58,5812,58120112,Mexican restaurant,Eating and Drinking Places,NA,NA,1989,2014,NA,NA,227300,3,189500,3,192000,3,194600,3,2.00E+05,3,2.00E+05,3,2.00E+05,3,200600,3,213300,3,224000,3,226300,3,226100,3,228600,3,233300,3,240000,3,390000,3,390000,3,382400,3,381200,3,382400,3,390000,3,390000,3,390000,3,390000,3,390000,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
844,THAI FANTASY,NA,5900 MONTEREY RD,90042,1854749,1854749,NA,N,34.1044,118.1846,58,5812,58120115,Thai restaurant,Eating and Drinking Places,1997,NA,1997,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160000,3,166700,3,171400,3,176000,3,190000,3,193300,3,190000,3,175000,3,163600,3,166700,3,160000,3,160000,3,161300,3,160000,3,160000,3,167200,3,170000,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DS,DS,--,--,--,--,--,--,--,--,--,--,--
855,MYUNG DONG NOODLE HOUSE,NA,698 IROLO ST STE 105,90005,1860456,1860456,NA,N,34.0598,118.3007,58,5812,58120110,Korean restaurant,Eating and Drinking Places,2005,NA,2005,2014,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150000,3,150000,3,262500,3,262500,3,262500,3,262500,3,260000,3,262500,3,262500,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DS,DS,DS,DS,DS,DS,DS,DS,DS
