,Company,Address,SIC2,Latitude,Longitude,NeighborSIC52,NeighborSIC53,NeighborSIC54,NeighborSIC55,NeighborSIC56,NeighborSIC57,NeighborSIC58,NeighborSIC59,NeighborSIC60,NeighborSIC61,NeighborSIC62,NeighborSIC63,NeighborSIC64,NeighborSIC65,NeighborSIC66,NeighborSIC67,NeighborSIC68,NeighborSIC69,NeighborSIC70,NeighborSIC71,NeighborSIC72,NeighborSIC73,NeighborSIC74,NeighborSIC75,NeighborSIC76,NeighborSIC77,NeighborSIC78,NeighborSIC79,NeighborSIC80,NeighborSIC81,NeighborSIC82,NeighborSIC83,NeighborSIC84
9,QUIZNOS CORPORATION,1884 WESTWOOD BLVD,58,34.0485,118.4355,,,,,,,2.0,,,,,,,,,,,,,,3.0,2.0,,,1.0,,,,,,,,
29,HARVEST FRESH CATFISH CO INC,1731 N SPRING ST,58,34.0702,118.2259,,,3.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
39,EL AMIGO RESTAURANT,4501 YORK BLVD,58,34.1237,118.2181,,,,,,,3.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
160,TWO GUYS FROM ITALY,6676 YUCCA ST,58,34.1031,118.3356,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
266,NOTIVEL ENTERPRISES INC,5920 W SUNSET BLVD,58,34.0979,118.3187,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
354,PHO ABC,928 S WESTERN AVE STE 117,58,34.0548,118.3089,,,7.0,,70.0,5.0,23.0,39.0,1.0,,,,1.0,3.0,,2.0,,,,,11.0,8.0,,1.0,,,1.0,,5.0,,,,
422,WEST HOLLYWOOD INTERESTS LTD,8851 SANTA MONICA BLVD,58,34.0854,118.3835,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
461,GOLD ROOM,1558 W SUNSET BLVD,58,34.0764,118.2569,,,,,,,1.0,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
472,EAST WIND EXPRESS,7363 W SUNSET BLVD,58,34.0981,118.3504,,,1.0,,,,5.0,1.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,
482,EL PAIZA MEXICAN FOOD,106 N AVENUE 58,58,34.1101,118.1921,,,1.0,,,1.0,1.0,2.0,,,,,,1.0,,,,,,,2.0,,,,,,,,,,,,
488,EMY BURGERS,7315 COMPTON AVE,58,33.9737,118.2478,,,,,5.0,1.0,1.0,3.0,,,,,,,,,,,,,6.0,,,2.0,,,,,2.0,,,,
507,EXPRESS RESTAURANT & CLUB,730 S CLOVERDALE AVE,58,34.0616,118.3462,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,
559,CASANA PAULA JUANA,4433 S ALAMEDA ST A23,58,34.003,118.2392,2.0,4.0,15.0,3.0,83.0,27.0,8.0,48.0,3.0,1.0,,,,5.0,,,,,,,16.0,11.0,,,6.0,,,1.0,3.0,,,,1.0
607,JORDANS CAFE,4448 W SLAUSON AVE,58,33.9887,118.3528,,,1.0,,,,2.0,,,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,
635,LA FUENTE NO 6,5552 N FIGUEROA ST,58,34.1085,118.1945,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
645,LE MANDARETTE,1651 3/4 N LA BREA AVE,58,34.1012,118.3452,,,1.0,,,,8.0,1.0,,,,,,,,,,,,,1.0,1.0,,,1.0,,,,,,,,
688,DENNYS INC,3060 N SAN FERNANDO RD,58,34.1141,118.2453,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
708,CKE RESTAURANTS INC,11077 W PICO BLVD,58,34.0373,118.4348,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
763,SAFARI NITE CLUB,6628 S VERMONT AVE,58,33.9788,118.2912,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
767,SALON SATURNO,2900 LAWNDALE DR,58,34.1339,118.2276,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
797,RESTAURANTE SINALOA,1165 E FLORENCE AVE,58,33.9748,118.2547,,,,1.0,,,2.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
836,TACOMOLE,725 S FIGUEROA ST,58,34.049,118.2603,1.0,,1.0,,1.0,,6.0,5.0,11.0,1.0,11.0,4.0,12.0,15.0,,24.0,,,1.0,,5.0,37.0,,1.0,,,1.0,3.0,2.0,111.0,6.0,3.0,
843,THAI FANTASY,5900 MONTEREY RD,58,34.1044,118.1846,,,4.0,,,1.0,6.0,2.0,1.0,,1.0,1.0,,1.0,,1.0,,,,,2.0,9.0,,,4.0,,4.0,1.0,7.0,,,,
854,MYUNG DONG NOODLE HOUSE,698 IROLO ST STE 105,58,34.0598,118.3007,,,3.0,,,1.0,7.0,2.0,,,,,,1.0,,,,,,,4.0,,,,1.0,,,1.0,1.0,,,,
865,HAKIMIANPOUR RESTAURANT GROUP,11110 OHIO AVE STE 107,58,34.0501,118.4467,,,,,,,4.0,1.0,,2.0,,,1.0,5.0,,1.0,,,1.0,,1.0,10.0,,,,,6.0,2.0,11.0,2.0,1.0,5.0,
869,CATERAIR INTERNATIONAL CORP,6901 W IMPERIAL HWY,58,33.9317,118.4116,,,,,,,2.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
957,SANDBAGS,11640 SAN VICENTE BLVD,58,34.0535,118.462,,,6.0,,4.0,,6.0,6.0,,,1.0,,,11.0,,3.0,,,,,1.0,4.0,,,,,,3.0,1.0,2.0,,,1.0
979,MANYAS TASTY FOODS,7350 MELROSE AVE,58,34.0834,118.35,,,,,9.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
1039,A N E INC,3346 LEONIS BLVD,58,34.0001,118.2064,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1114,GOLDEN BIRD LLC,4201 WILSHIRE BLVD,58,34.0618,118.3193,1.0,,3.0,1.0,5.0,5.0,4.0,3.0,1.0,13.0,3.0,1.0,7.0,9.0,,16.0,,,1.0,,5.0,63.0,,1.0,,,6.0,5.0,24.0,34.0,13.0,8.0,
1119,HAMBURGER HAMLETS INC,811 WILSHIRE BLVD,58,34.0496,118.2583,,,1.0,,1.0,1.0,5.0,3.0,4.0,,2.0,,5.0,5.0,,4.0,,,,,,24.0,,1.0,1.0,,,,,17.0,1.0,2.0,
1131,TANGY THAI RESTAURANT,7363 W SUNSET BLVD,58,34.0981,118.3504,,,1.0,,,,5.0,1.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,
1136,TODAI FRANCHISING LLC,3700 WILSHIRE BLVD,58,34.0615,118.3067,2.0,,10.0,5.0,18.0,6.0,8.0,25.0,7.0,23.0,8.0,4.0,33.0,51.0,,39.0,,,1.0,,15.0,94.0,,6.0,4.0,,4.0,9.0,28.0,62.0,10.0,5.0,
1305,JODY MARONIS SAUSAGE KINGDOM,5441 W 104TH ST,58,33.942,118.3752,,,,,,,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,
1320,TAJMAHL OF INDIA,8566 W PICO BLVD,58,34.0535,118.3775,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1348,CSI RESTAURANT GROUP INC,505 S FLOWER ST,58,34.0515,118.2563,,,8.0,2.0,6.0,1.0,18.0,10.0,,,,,,1.0,,,,,,,8.0,4.0,,,1.0,,,2.0,8.0,,,,
1428,FOUR SEASONS CATERING,1300 S SAN PEDRO ST,58,34.0325,118.2539,,,1.0,,13.0,,2.0,1.0,1.0,,,,,1.0,,,,,1.0,,,3.0,,,,,,,,,,,
1466,DORYS BAKERY RESTAURANT,2523 W TEMPLE ST,58,34.0722,118.2736,,,4.0,,,,2.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,
1480,JOOM,7825 BEVERLY BLVD STE 2,58,34.0762,118.3605,,,3.0,,,,6.0,3.0,,,,,1.0,,,,,,,,,1.0,,,2.0,,,,,,,,
1495,KEE HEE ENTERPRISE INC,6507 W SUNSET BLVD,58,34.0981,118.3312,,,,,,,2.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
1564,COACHARTORG,3303 WILSHIRE BLVD 1200,58,34.0619,118.2943,,,,,,,1.0,,1.0,2.0,,,6.0,5.0,,,,,,,2.0,2.0,,,,,,,1.0,2.0,1.0,1.0,
1641,S BAR,6304 HOLLYWOOD BLVD,58,34.0997,118.3272,1.0,2.0,15.0,11.0,44.0,20.0,51.0,76.0,9.0,6.0,3.0,,4.0,15.0,,6.0,,,8.0,,37.0,140.0,,18.0,10.0,,54.0,30.0,8.0,8.0,7.0,9.0,2.0
1665,PITFIRE WESTWOOD LLC,108 W 2ND ST APT 210,58,34.051,118.2449,1.0,,1.0,,2.0,,7.0,1.0,,1.0,,,,3.0,,1.0,,,,,2.0,28.0,,1.0,2.0,,3.0,4.0,1.0,,1.0,,
