Geo ID,Geographic Area Name, Total population,Median age,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over,Percent Under 5 years,Percent 5 to 9 years,Percent 10 to 14 years,Percent 15 to 19 years,Percent 20 to 24 years,Percent 25 to 29 years,Percent 30 to 34 years,Percent 35 to 39 years,Percent 40 to 44 years,Percent 45 to 49 years,Percent 50 to 54 years,Percent 55 to 59 years,Percent 60 to 64 years,Percent 65 to 69 years,Percent 70 to 74 years,Percent 75 to 79 years,Percent 80 to 84 years,Percent 85 years and over
8600000US90001,90001,59832,29.1,5379,5495,5006,4839,4848,4818,3966,4116,3628,3220,2953,2405,1615,1079,662,395,381,8.4,9,9.2,8.4,8.1,8.1,8.1,6.6,6.9,6.1,5.4,4.9,4,2.7,1.8,1.1,0.7,0.6
8600000US90002,90002,53302,28,4743,4705,4763,4911,4274,3431,3825,3672,3538,2875,2259,2179,1270,751,550,322,446,9,8.9,8.8,8.9,9.2,8,6.4,7.2,6.9,6.6,5.4,4.2,4.1,2.4,1.4,1,0.6,0.8
8600000US90003,90003,73730,28.3,6155,6648,6574,5620,7236,5288,5475,4292,4315,4501,3536,2855,1787,995,805,398,566,9.1,8.3,9,8.9,7.6,9.8,7.2,7.4,5.8,5.9,6.1,4.8,3.9,2.4,1.3,1.1,0.5,0.8
8600000US90004,90004,60541,35.2,3474,2913,3019,3993,6658,6487,4647,4642,4377,3842,3378,3050,2400,1751,1033,736,624,5.8,5.7,4.8,5,6.6,11,10.7,7.7,7.7,7.2,6.3,5.6,5,4,2.9,1.7,1.2,1
8600000US90005,90005,39732,35.6,2193,1852,1795,2651,4695,3965,3070,3680,2534,2301,2105,1661,1435,1272,1149,588,583,5.5,5.5,4.7,4.5,6.7,11.8,10,7.7,9.3,6.4,5.8,5.3,4.2,3.6,3.2,2.9,1.5,1.5
8600000US90006,90006,59576,34.1,4187,3305,3872,4016,6040,5856,4514,4058,3816,3926,3212,2787,2257,1608,1167,647,850,5.8,7,5.5,6.5,6.7,10.1,9.8,7.6,6.8,6.4,6.6,5.4,4.7,3.8,2.7,2,1.1,1.4
8600000US90007,90007,42433,24.3,1736,1759,5254,12174,5002,2567,1754,1413,1711,1521,1626,1355,1173,798,559,362,348,3.1,4.1,4.1,12.4,28.7,11.8,6,4.1,3.3,4,3.6,3.8,3.2,2.8,1.9,1.3,0.9,0.8
8600000US90008,90008,31754,43.2,1153,1695,1750,2190,2299,2234,2014,2441,1893,2664,2434,2357,1920,1492,766,801,545,3.5,3.6,5.3,5.5,6.9,7.2,7,6.3,7.7,6,8.4,7.7,7.4,6,4.7,2.4,2.5,1.7
8600000US90010,90010,3822,37.1,240,27,125,263,647,434,292,176,177,149,331,211,186,218,199,19,78,1.3,6.3,0.7,3.3,6.9,16.9,11.4,7.6,4.6,4.6,3.9,8.7,5.5,4.9,5.7,5.2,0.5,2
8600000US90011,90011,111165,28.7,10092,10008,9204,9565,9622,8427,7471,8402,7674,5929,4566,3939,2659,1700,1124,920,600,8.3,9.1,9,8.3,8.6,8.7,7.6,6.7,7.6,6.9,5.3,4.1,3.5,2.4,1.5,1,0.8,0.5
8600000US90012,90012,36552,35.3,657,799,1233,3958,5979,4324,3480,2538,2502,1958,1377,1371,1435,886,1025,895,1078,2.9,1.8,2.2,3.4,10.8,16.4,11.8,9.5,6.9,6.8,5.4,3.8,3.8,3.9,2.4,2.8,2.4,2.9
8600000US90013,90013,12559,43.3,141,35,30,678,1633,1493,1391,953,1216,1156,1059,930,487,457,242,202,242,1.7,1.1,0.3,0.2,5.4,13,11.9,11.1,7.6,9.7,9.2,8.4,7.4,3.9,3.6,1.9,1.6,1.9
8600000US90014,90014,8688,41.7,25,26,19,494,1213,1287,934,698,666,498,455,801,638,201,128,249,280,0.9,0.3,0.3,0.2,5.7,14,14.8,10.8,8,7.7,5.7,5.2,9.2,7.3,2.3,1.5,2.9,3.2
8600000US90015,90015,22651,31.9,1004,1086,1470,2231,3440,2318,2257,1712,1540,994,978,691,602,475,264,179,212,5.3,4.4,4.8,6.5,9.8,15.2,10.2,10,7.6,6.8,4.4,4.3,3.1,2.7,2.1,1.2,0.8,0.9
8600000US90016,90016,45899,37.4,2357,2680,2700,3153,4538,3623,3196,3313,3494,2966,2943,2526,2239,1321,974,715,894,4.9,5.1,5.8,5.9,6.9,9.9,7.9,7,7.2,7.6,6.5,6.4,5.5,4.9,2.9,2.1,1.6,1.9
8600000US90017,90017,27723,31.7,1521,1760,1362,2299,4007,3228,2321,2015,1630,1320,1032,1110,709,601,298,447,277,6.4,5.5,6.3,4.9,8.3,14.5,11.6,8.4,7.3,5.9,4.8,3.7,4,2.6,2.2,1.1,1.6,1
8600000US90018,90018,53490,34.4,3394,3696,3426,4421,4711,4403,3752,3555,3045,3732,3285,2738,1684,1596,1155,851,850,6,6.3,6.9,6.4,8.3,8.8,8.2,7,6.6,5.7,7,6.1,5.1,3.1,3,2.2,1.6,1.6
8600000US90019,90019,64534,38.2,2887,3108,2333,4864,5643,5743,5540,4830,4762,4596,3920,3851,2637,1937,1577,1089,1077,6.4,4.5,4.8,3.6,7.5,8.7,8.9,8.6,7.5,7.4,7.1,6.1,6,4.1,3,2.4,1.7,1.7
8600000US90020,90020,39189,34.4,1905,1696,1725,2740,5245,4356,3090,2954,2526,2738,2057,1940,1235,1089,628,491,339,6.2,4.9,4.3,4.4,7,13.4,11.1,7.9,7.5,6.4,7,5.2,5,3.2,2.8,1.6,1.3,0.9
8600000US90021,90021,2945,39.2,106,87,116,111,287,410,365,327,261,168,269,94,76,37,44,29,78,2.7,3.6,3,3.9,3.8,9.7,13.9,12.4,11.1,8.9,5.7,9.1,3.2,2.6,1.3,1.5,1,2.6
8600000US90022,90022,67014,32.6,5123,5170,5056,5040,5520,5436,4662,4215,4079,3995,3794,3239,2449,1637,1070,879,1005,6.9,7.6,7.7,7.5,7.5,8.2,8.1,7,6.3,6.1,6,5.7,4.8,3.7,2.4,1.6,1.3,1.5
