id,Geographic Area Name,Total,Median income,Mean income
8600000US90001,ZCTA5 90001,13669,45360,55670
8600000US90002,ZCTA5 90002,12917,40222,51981
8600000US90003,ZCTA5 90003,17484,42333,52607
8600000US90004,ZCTA5 90004,22004,51104,92019
8600000US90005,ZCTA5 90005,16781,44586,62601
8600000US90006,ZCTA5 90006,19337,36757,50711
8600000US90007,ZCTA5 90007,11919,39002,76034
8600000US90008,ZCTA5 90008,14858,61955,87861
8600000US90010,ZCTA5 90010,2029,67700,101140
8600000US90011,ZCTA5 90011,24433,39061,50826
8600000US90012,ZCTA5 90012,13216,49600,78610
8600000US90013,ZCTA5 90013,7308,105139,149644
8600000US90014,ZCTA5 90014,5644,96496,98836
8600000US90015,ZCTA5 90015,10270,43042,83495
8600000US90016,ZCTA5 90016,17218,58120,73993
8600000US90017,ZCTA5 90017,11510,32444,64859
8600000US90018,ZCTA5 90018,16568,53845,75233
8600000US90019,ZCTA5 90019,24464,65283,94502
8600000US90020,ZCTA5 90020,16396,52173,93888
8600000US90021,ZCTA5 90021,1734,58393,88223
8600000US90022,ZCTA5 90022,17603,49667,62481
8600000US90023,ZCTA5 90023,11691,44856,56397
8600000US90024,ZCTA5 90024,16515,133385,244471
8600000US90025,ZCTA5 90025,22015,113942,154944
8600000US90026,ZCTA5 90026,26045,64363,97599
8600000US90027,ZCTA5 90027,21668,83174,142997
8600000US90028,ZCTA5 90028,16403,49883,77804
8600000US90029,ZCTA5 90029,13997,44118,67622
8600000US90031,ZCTA5 90031,11739,49530,71942
8600000US90032,ZCTA5 90032,13493,60231,78665
8600000US90033,ZCTA5 90033,13303,39649,51172
8600000US90034,ZCTA5 90034,25248,91147,125149
8600000US90035,ZCTA5 90035,11816,122723,182506
8600000US90036,ZCTA5 90036,18559,112065,163578
8600000US90037,ZCTA5 90037,17699,39212,52840
8600000US90038,ZCTA5 90038,12229,49426,68025
8600000US90039,ZCTA5 90039,11685,103418,141361
8600000US90040,ZCTA5 90040,3461,54272,67187
8600000US90041,ZCTA5 90041,9661,102171,125256
8600000US90042,ZCTA5 90042,21017,67849,91548
8600000US90043,ZCTA5 90043,17376,71725,95398
8600000US90044,ZCTA5 90044,29029,44132,57921
8600000US90045,ZCTA5 90045,15622,145608,176556
