"GEO_ID","NAME","B12001_001E","B12001_001M","B12001_002E","B12001_002M","B12001_003E","B12001_003M","B12001_004E","B12001_004M","B12001_005E","B12001_005M","B12001_006E","B12001_006M","B12001_007E","B12001_007M","B12001_008E","B12001_008M","B12001_009E","B12001_009M","B12001_010E","B12001_010M","B12001_011E","B12001_011M","B12001_012E","B12001_012M","B12001_013E","B12001_013M","B12001_014E","B12001_014M","B12001_015E","B12001_015M","B12001_016E","B12001_016M","B12001_017E","B12001_017M","B12001_018E","B12001_018M","B12001_019E","B12001_019M"
"id","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Male:","Margin of Error!!Total:!!Male:","Estimate!!Total:!!Male:!!Never married","Margin of Error!!Total:!!Male:!!Never married","Estimate!!Total:!!Male:!!Now married:","Margin of Error!!Total:!!Male:!!Now married:","Estimate!!Total:!!Male:!!Now married:!!Married, spouse present","Margin of Error!!Total:!!Male:!!Now married:!!Married, spouse present","Estimate!!Total:!!Male:!!Now married:!!Married, spouse absent:","Margin of Error!!Total:!!Male:!!Now married:!!Married, spouse absent:","Estimate!!Total:!!Male:!!Now married:!!Married, spouse absent:!!Separated","Margin of Error!!Total:!!Male:!!Now married:!!Married, spouse absent:!!Separated","Estimate!!Total:!!Male:!!Now married:!!Married, spouse absent:!!Other","Margin of Error!!Total:!!Male:!!Now married:!!Married, spouse absent:!!Other","Estimate!!Total:!!Male:!!Widowed","Margin of Error!!Total:!!Male:!!Widowed","Estimate!!Total:!!Male:!!Divorced","Margin of Error!!Total:!!Male:!!Divorced","Estimate!!Total:!!Female:","Margin of Error!!Total:!!Female:","Estimate!!Total:!!Female:!!Never married","Margin of Error!!Total:!!Female:!!Never married","Estimate!!Total:!!Female:!!Now married:","Margin of Error!!Total:!!Female:!!Now married:","Estimate!!Total:!!Female:!!Now married:!!Married, spouse present","Margin of Error!!Total:!!Female:!!Now married:!!Married, spouse present","Estimate!!Total:!!Female:!!Now married:!!Married, spouse absent:","Margin of Error!!Total:!!Female:!!Now married:!!Married, spouse absent:","Estimate!!Total:!!Female:!!Now married:!!Married, spouse absent:!!Separated","Margin of Error!!Total:!!Female:!!Now married:!!Married, spouse absent:!!Separated","Estimate!!Total:!!Female:!!Now married:!!Married, spouse absent:!!Other","Margin of Error!!Total:!!Female:!!Now married:!!Married, spouse absent:!!Other","Estimate!!Total:!!Female:!!Widowed","Margin of Error!!Total:!!Female:!!Widowed","Estimate!!Total:!!Female:!!Divorced","Margin of Error!!Total:!!Female:!!Divorced"
"8600000US90001","ZCTA5 90001","43931","1339","22441","818","11585","662","9216","517","7200","447","2016","319","582","147","1434","280","421","178","1219","233","21490","779","9999","725","9047","521","6863","430","2184","271","1040","179","1144","209","1247","194","1197","217"
"8600000US90002","ZCTA5 90002","39066","1551","18179","859","9859","666","7093","434","5691","380","1402","220","426","131","976","212","400","130","827","207","20887","981","10963","759","7229","450","5461","370","1768","286","858","204","910","204","1199","246","1496","283"
"8600000US90003","ZCTA5 90003","54243","1535","25998","999","13908","771","10519","602","7633","450","2886","390","888","208","1998","322","447","124","1124","244","28245","1110","14115","915","10720","557","7287","436","3433","363","1497","257","1936","315","1637","268","1773","247"
"8600000US90004","ZCTA5 90004","50637","1416","25246","948","13486","835","9925","525","8405","429","1520","274","565","167","955","206","349","127","1486","256","25391","936","11750","788","9700","495","8144","439","1556","234","653","154","903","203","1707","240","2234","309"
"8600000US90005","ZCTA5 90005","33484","1221","16730","898","9211","768","6169","481","5036","383","1133","241","409","124","724","200","274","98","1076","220","16754","674","7931","520","6048","408","4932","368","1116","226","584","155","532","181","1342","251","1433","216"
"8600000US90006","ZCTA5 90006","48626","1310","24018","897","13405","673","8717","486","6724","391","1993","312","692","167","1301","279","416","142","1480","255","24608","784","11948","669","8776","463","6530","380","2246","299","1153","206","1093","209","1786","290","2098","270"
"8600000US90007","ZCTA5 90007","37617","1205","19256","1068","14613","1003","4001","302","2998","249","1003","222","343","135","660","164","145","79","497","121","18361","792","12691","708","4032","318","2869","244","1163","221","509","133","654","178","890","165","748","155"
"8600000US90008","ZCTA5 90008","27800","1149","12039","782","6196","545","4437","524","3544","445","893","259","424","164","469","180","215","128","1191","260","15761","828","7667","669","4543","494","3555","405","988","288","538","178","450","174","1281","270","2270","398"
"8600000US90010","ZCTA5 90010","3505","537","1644","305","772","243","740","194","720","193","20","16","20","16","0","12","6","9","126","64","1861","326","726","171","754","189","712","189","42","35","9","14","33","33","137","78","244","97"
