GEO_ID,NAME,B12001_001E,B12001_002E,B12001_003E,B12001_004E,B12001_005E,B12001_006E,B12001_007E,B12001_008E,B12001_009E,B12001_010E,B12001_011E,B12001_012E,B12001_013E,B12001_014E,B12001_015E,B12001_016E,B12001_017E,B12001_018E,B12001_019E
id,Geographic Area Name,Estimate!!Total:,Estimate!!Total:!!Male:,Estimate!!Total:!!Male:!!Never married,Estimate!!Total:!!Male:!!Now married:,"Estimate!!Total:!!Male:!!Now married:!!Married, spouse present","Estimate!!Total:!!Male:!!Now married:!!Married, spouse absent:","Estimate!!Total:!!Male:!!Now married:!!Married, spouse absent:!!Separated","Estimate!!Total:!!Male:!!Now married:!!Married, spouse absent:!!Other",Estimate!!Total:!!Male:!!Widowed,Estimate!!Total:!!Male:!!Divorced,Estimate!!Total:!!Female:,Estimate!!Total:!!Female:!!Never married,Estimate!!Total:!!Female:!!Now married:,"Estimate!!Total:!!Female:!!Now married:!!Married, spouse present","Estimate!!Total:!!Female:!!Now married:!!Married, spouse absent:","Estimate!!Total:!!Female:!!Now married:!!Married, spouse absent:!!Separated","Estimate!!Total:!!Female:!!Now married:!!Married, spouse absent:!!Other",Estimate!!Total:!!Female:!!Widowed,Estimate!!Total:!!Female:!!Divorced
8600000US90001,ZCTA5 90001,43931,22441,11585,9216,7200,2016,582,1434,421,1219,21490,9999,9047,6863,2184,1040,1144,1247,1197
8600000US90002,ZCTA5 90002,39066,18179,9859,7093,5691,1402,426,976,400,827,20887,10963,7229,5461,1768,858,910,1199,1496
8600000US90003,ZCTA5 90003,54243,25998,13908,10519,7633,2886,888,1998,447,1124,28245,14115,10720,7287,3433,1497,1936,1637,1773
8600000US90004,ZCTA5 90004,50637,25246,13486,9925,8405,1520,565,955,349,1486,25391,11750,9700,8144,1556,653,903,1707,2234
8600000US90005,ZCTA5 90005,33484,16730,9211,6169,5036,1133,409,724,274,1076,16754,7931,6048,4932,1116,584,532,1342,1433
8600000US90006,ZCTA5 90006,48626,24018,13405,8717,6724,1993,692,1301,416,1480,24608,11948,8776,6530,2246,1153,1093,1786,2098
8600000US90007,ZCTA5 90007,37617,19256,14613,4001,2998,1003,343,660,145,497,18361,12691,4032,2869,1163,509,654,890,748
8600000US90008,ZCTA5 90008,27800,12039,6196,4437,3544,893,424,469,215,1191,15761,7667,4543,3555,988,538,450,1281,2270
8600000US90010,ZCTA5 90010,3505,1644,772,740,720,20,20,0,6,126,1861,726,754,712,42,9,33,137,244
