id,Geographic Area Name,Total
8600000US90001,ZCTA5 90001,59832
8600000US90002,ZCTA5 90002,53302
8600000US90003,ZCTA5 90003,73730
8600000US90004,ZCTA5 90004,60541
8600000US90005,ZCTA5 90005,39732
8600000US90006,ZCTA5 90006,59576
8600000US90007,ZCTA5 90007,42433
8600000US90008,ZCTA5 90008,31754
8600000US90010,ZCTA5 90010,3822
8600000US90011,ZCTA5 90011,111165
8600000US90012,ZCTA5 90012,36552
8600000US90013,ZCTA5 90013,12559
8600000US90014,ZCTA5 90014,8688
8600000US90015,ZCTA5 90015,22651
8600000US90016,ZCTA5 90016,45899
8600000US90017,ZCTA5 90017,27723
8600000US90018,ZCTA5 90018,53490
8600000US90019,ZCTA5 90019,64534
8600000US90020,ZCTA5 90020,39189
8600000US90021,ZCTA5 90021,2945
8600000US90022,ZCTA5 90022,67014
8600000US90023,ZCTA5 90023,46680
8600000US90024,ZCTA5 90024,51627
8600000US90025,ZCTA5 90025,46883
8600000US90026,ZCTA5 90026,68906
8600000US90027,ZCTA5 90027,44770
8600000US90028,ZCTA5 90028,29774
8600000US90029,ZCTA5 90029,36668
8600000US90031,ZCTA5 90031,39916
8600000US90032,ZCTA5 90032,48031
8600000US90033,ZCTA5 90033,49155
8600000US90034,ZCTA5 90034,53861
8600000US90035,ZCTA5 90035,27272
8600000US90036,ZCTA5 90036,37965
8600000US90037,ZCTA5 90037,67640
8600000US90038,ZCTA5 90038,28580
8600000US90039,ZCTA5 90039,29510
8600000US90040,ZCTA5 90040,12328
8600000US90041,ZCTA5 90041,29090
8600000US90042,ZCTA5 90042,63193
8600000US90043,ZCTA5 90043,45873
8600000US90044,ZCTA5 90044,99443
8600000US90045,ZCTA5 90045,40567
8600000US90046,ZCTA5 90046,50900
8600000US90047,ZCTA5 90047,51411
8600000US90048,ZCTA5 90048,21489
8600000US90049,ZCTA5 90049,36418
8600000US90056,ZCTA5 90056,7649
8600000US90057,ZCTA5 90057,50152
8600000US90058,ZCTA5 90058,2718
8600000US90059,ZCTA5 90059,46185
8600000US90061,ZCTA5 90061,27873
8600000US90062,ZCTA5 90062,35916
8600000US90063,ZCTA5 90063,53980
8600000US90064,ZCTA5 90064,25925
8600000US90065,ZCTA5 90065,46461
8600000US90066,ZCTA5 90066,59167
8600000US90067,ZCTA5 90067,2428
8600000US90068,ZCTA5 90068,21092
8600000US90069,ZCTA5 90069,20230
8600000US90071,ZCTA5 90071,126
8600000US90073,ZCTA5 90073,953
8600000US90077,ZCTA5 90077,8382
8600000US90079,ZCTA5 90079,0
8600000US90089,ZCTA5 90089,3786
8600000US90090,ZCTA5 90090,0
8600000US90094,ZCTA5 90094,9827
8600000US90095,ZCTA5 90095,0
8600000US90201,ZCTA5 90201,101965
8600000US90210,ZCTA5 90210,19314
8600000US90211,ZCTA5 90211,8019
8600000US90212,ZCTA5 90212,13314
8600000US90220,ZCTA5 90220,52817
8600000US90221,ZCTA5 90221,51688
8600000US90222,ZCTA5 90222,33200
8600000US90230,ZCTA5 90230,32687
8600000US90232,ZCTA5 90232,14780
8600000US90240,ZCTA5 90240,26413
8600000US90241,ZCTA5 90241,43215
8600000US90242,ZCTA5 90242,42694
8600000US90245,ZCTA5 90245,16731
8600000US90247,ZCTA5 90247,48293
8600000US90248,ZCTA5 90248,11607
8600000US90249,ZCTA5 90249,26429
8600000US90250,ZCTA5 90250,97072
8600000US90254,ZCTA5 90254,19539
8600000US90255,ZCTA5 90255,75019
8600000US90260,ZCTA5 90260,34827
8600000US90262,ZCTA5 90262,70536
8600000US90263,ZCTA5 90263,1838
8600000US90265,ZCTA5 90265,17954
8600000US90266,ZCTA5 90266,35500
8600000US90270,ZCTA5 90270,27287
8600000US90272,ZCTA5 90272,21629
8600000US90274,ZCTA5 90274,25061
8600000US90275,ZCTA5 90275,42146
8600000US90277,ZCTA5 90277,34827
8600000US90278,ZCTA5 90278,40252
8600000US90280,ZCTA5 90280,94642
8600000US90290,ZCTA5 90290,5681
8600000US90291,ZCTA5 90291,26950
8600000US90292,ZCTA5 90292,23549
8600000US90293,ZCTA5 90293,12728
8600000US90301,ZCTA5 90301,38234
8600000US90302,ZCTA5 90302,30017
8600000US90303,ZCTA5 90303,24374
8600000US90304,ZCTA5 90304,25946
8600000US90305,ZCTA5 90305,15042
8600000US90401,ZCTA5 90401,7111
8600000US90402,ZCTA5 90402,11882
8600000US90403,ZCTA5 90403,23902
8600000US90404,ZCTA5 90404,22929
8600000US90405,ZCTA5 90405,28156
8600000US90501,ZCTA5 90501,41975
8600000US90502,ZCTA5 90502,17778
8600000US90503,ZCTA5 90503,44605
8600000US90504,ZCTA5 90504,33410
8600000US90505,ZCTA5 90505,37220
8600000US90506,ZCTA5 90506,0
8600000US90601,ZCTA5 90601,32053
8600000US90602,ZCTA5 90602,25581
8600000US90603,ZCTA5 90603,21584
8600000US90604,ZCTA5 90604,42911
8600000US90605,ZCTA5 90605,40192
8600000US90606,ZCTA5 90606,32987
8600000US90620,ZCTA5 90620,46414
8600000US90621,ZCTA5 90621,35598
8600000US90623,ZCTA5 90623,15662
8600000US90630,ZCTA5 90630,49205
8600000US90631,ZCTA5 90631,69064
8600000US90638,ZCTA5 90638,49227
8600000US90640,ZCTA5 90640,62730
8600000US90650,ZCTA5 90650,105304
8600000US90660,ZCTA5 90660,63001
8600000US90670,ZCTA5 90670,16700
8600000US90680,ZCTA5 90680,30531
8600000US90701,ZCTA5 90701,16801
8600000US90703,ZCTA5 90703,50589
8600000US90704,ZCTA5 90704,3979
8600000US90706,ZCTA5 90706,77195
8600000US90710,ZCTA5 90710,28045
8600000US90712,ZCTA5 90712,31217
8600000US90713,ZCTA5 90713,28202
8600000US90715,ZCTA5 90715,20256
8600000US90716,ZCTA5 90716,14285
8600000US90717,ZCTA5 90717,21508
8600000US90720,ZCTA5 90720,22261
8600000US90723,ZCTA5 90723,54513
8600000US90731,ZCTA5 90731,60659
8600000US90732,ZCTA5 90732,22780
8600000US90740,ZCTA5 90740,24307
8600000US90742,ZCTA5 90742,692
8600000US90743,ZCTA5 90743,236
8600000US90744,ZCTA5 90744,56880
8600000US90745,ZCTA5 90745,56930
8600000US90746,ZCTA5 90746,27075
8600000US90747,ZCTA5 90747,0
8600000US90755,ZCTA5 90755,11545
8600000US90802,ZCTA5 90802,38962
8600000US90803,ZCTA5 90803,32126
8600000US90804,ZCTA5 90804,39239
8600000US90805,ZCTA5 90805,95995
8600000US90806,ZCTA5 90806,41990
8600000US90807,ZCTA5 90807,32202
8600000US90808,ZCTA5 90808,39330
8600000US90810,ZCTA5 90810,37251
8600000US90813,ZCTA5 90813,58380
8600000US90814,ZCTA5 90814,19685
8600000US90815,ZCTA5 90815,41312
8600000US90822,ZCTA5 90822,133
8600000US90831,ZCTA5 90831,0
8600000US91001,ZCTA5 91001,37818
8600000US91006,ZCTA5 91006,32958
8600000US91007,ZCTA5 91007,34116
8600000US91008,ZCTA5 91008,1084
8600000US91010,ZCTA5 91010,26380
8600000US91011,ZCTA5 91011,20301
8600000US91016,ZCTA5 91016,41105
8600000US91020,ZCTA5 91020,8633
8600000US91024,ZCTA5 91024,10932
