id,Geographic Area Name,Total
8600000US90001,90001,59832
8600000US90002,90002,53302
8600000US90003,90003,73730
8600000US90004,90004,60541
8600000US90005,90005,39732
8600000US90006,90006,59576
8600000US90007,90007,42433
8600000US90008,90008,31754
8600000US90010,90010,3822
8600000US90011,90011,111165
8600000US90012,90012,36552
8600000US90013,90013,12559
8600000US90014,90014,8688
8600000US90015,90015,22651
8600000US90016,90016,45899
8600000US90017,90017,27723
8600000US90018,90018,53490
8600000US90019,90019,64534
8600000US90020,90020,39189
8600000US90021,90021,2945
8600000US90022,90022,67014
8600000US90023,90023,46680
8600000US90024,90024,51627
8600000US90025,90025,46883
8600000US90026,90026,68906
8600000US90027,90027,44770
8600000US90028,90028,29774
8600000US90029,90029,36668
8600000US90031,90031,39916
8600000US90032,90032,48031
8600000US90033,90033,49155
8600000US90034,90034,53861
8600000US90035,90035,27272
8600000US90036,90036,37965
8600000US90037,90037,67640
8600000US90038,90038,28580
8600000US90039,90039,29510
8600000US90040,90040,12328
8600000US90041,90041,29090
8600000US90042,90042,63193
8600000US90043,90043,45873
8600000US90044,90044,99443
8600000US90045,90045,40567
8600000US90046,90046,50900
8600000US90047,90047,51411
8600000US90048,90048,21489
8600000US90049,90049,36418
8600000US90056,90056,7649
8600000US90057,90057,50152
8600000US90058,90058,2718
8600000US90059,90059,46185
8600000US90061,90061,27873
8600000US90062,90062,35916
8600000US90063,90063,53980
8600000US90064,90064,25925
8600000US90065,90065,46461
8600000US90066,90066,59167
8600000US90067,90067,2428
8600000US90068,90068,21092
8600000US90069,90069,20230
8600000US90071,90071,126
8600000US90073,90073,953
8600000US90077,90077,8382
8600000US90079,90079,0
8600000US90089,90089,3786
8600000US90090,90090,0
8600000US90094,90094,9827
8600000US90095,90095,0
8600000US90201,90201,101965
8600000US90210,90210,19314
8600000US90211,90211,8019
8600000US90212,90212,13314
8600000US90220,90220,52817
8600000US90221,90221,51688
8600000US90222,90222,33200
8600000US90230,90230,32687
8600000US90232,90232,14780
8600000US90240,90240,26413
8600000US90241,90241,43215
8600000US90242,90242,42694
8600000US90245,90245,16731
8600000US90247,90247,48293
8600000US90248,90248,11607
8600000US90249,90249,26429
8600000US90250,90250,97072
8600000US90254,90254,19539
8600000US90255,90255,75019
8600000US90260,90260,34827
8600000US90262,90262,70536
8600000US90263,90263,1838
8600000US90265,90265,17954
8600000US90266,90266,35500
8600000US90270,90270,27287
8600000US90272,90272,21629
8600000US90274,90274,25061
8600000US90275,90275,42146
8600000US90277,90277,34827
8600000US90278,90278,40252
8600000US90280,90280,94642
8600000US90290,90290,5681
8600000US90291,90291,26950
8600000US90292,90292,23549
8600000US90293,90293,12728
