Geo ID,Geographic Area Name,Median contract rent
8600000US90001,ZCTA5 90001,1056
8600000US90002,ZCTA5 90002,1054
8600000US90003,ZCTA5 90003,1074
8600000US90004,ZCTA5 90004,1236
8600000US90005,ZCTA5 90005,1177
8600000US90006,ZCTA5 90006,1053
8600000US90007,ZCTA5 90007,1105
8600000US90008,ZCTA5 90008,1087
8600000US90010,ZCTA5 90010,1820
8600000US90011,ZCTA5 90011,999
8600000US90012,ZCTA5 90012,1593
8600000US90013,ZCTA5 90013,720
8600000US90014,ZCTA5 90014,1646
8600000US90015,ZCTA5 90015,1238
8600000US90016,ZCTA5 90016,1142
8600000US90017,ZCTA5 90017,1055
8600000US90018,ZCTA5 90018,1080
8600000US90019,ZCTA5 90019,1287
8600000US90020,ZCTA5 90020,1307
8600000US90021,ZCTA5 90021,645
8600000US90022,ZCTA5 90022,1003
8600000US90023,ZCTA5 90023,1007
8600000US90024,ZCTA5 90024,2177
8600000US90025,ZCTA5 90025,1945
8600000US90026,ZCTA5 90026,1243
8600000US90027,ZCTA5 90027,1393
8600000US90028,ZCTA5 90028,1343
8600000US90029,ZCTA5 90029,1133
8600000US90031,ZCTA5 90031,1011
8600000US90032,ZCTA5 90032,1054
8600000US90033,ZCTA5 90033,949
8600000US90034,ZCTA5 90034,1645
8600000US90035,ZCTA5 90035,1815
8600000US90036,ZCTA5 90036,2182
8600000US90037,ZCTA5 90037,971
8600000US90038,ZCTA5 90038,1261
8600000US90039,ZCTA5 90039,1595
8600000US90040,ZCTA5 90040,1051
8600000US90041,ZCTA5 90041,1344
8600000US90042,ZCTA5 90042,1219
8600000US90043,ZCTA5 90043,1043
8600000US90044,ZCTA5 90044,1003
8600000US90045,ZCTA5 90045,1988
8600000US90046,ZCTA5 90046,1605
8600000US90047,ZCTA5 90047,1068
8600000US90048,ZCTA5 90048,2043
8600000US90049,ZCTA5 90049,2161
8600000US90056,ZCTA5 90056,1772
8600000US90057,ZCTA5 90057,1017
8600000US90058,ZCTA5 90058,556
8600000US90059,ZCTA5 90059,831
8600000US90061,ZCTA5 90061,1055
8600000US90062,ZCTA5 90062,1074
8600000US90063,ZCTA5 90063,1082
8600000US90064,ZCTA5 90064,1846
8600000US90065,ZCTA5 90065,1192
8600000US90066,ZCTA5 90066,1714
8600000US90067,ZCTA5 90067,2777
