Geo ID,Geographic Area Name,Median gross rent
8600000US90001,90001,1150
8600000US90002,90002,1187
8600000US90003,90003,1212
8600000US90004,90004,1307
8600000US90005,90005,1235
8600000US90006,90006,1116
8600000US90007,90007,1182
8600000US90008,90008,1203
8600000US90010,90010,1931
8600000US90011,90011,1178
8600000US90012,90012,1688
8600000US90013,90013,741
8600000US90014,90014,1710
8600000US90015,90015,1375
8600000US90016,90016,1238
8600000US90017,90017,1117
8600000US90018,90018,1189
8600000US90019,90019,1407
8600000US90020,90020,1376
8600000US90021,90021,647
8600000US90022,90022,1107
8600000US90023,90023,1139
8600000US90024,90024,2265
8600000US90025,90025,2062
8600000US90026,90026,1355
8600000US90027,90027,1468
8600000US90028,90028,1419
8600000US90029,90029,1200
8600000US90031,90031,1161
8600000US90032,90032,1205
8600000US90033,90033,1091
8600000US90034,90034,1727
8600000US90035,90035,1921
8600000US90036,90036,2265
8600000US90037,90037,1106
8600000US90038,90038,1330
8600000US90039,90039,1727
8600000US90040,90040,1163
8600000US90041,90041,1460
8600000US90042,90042,1342
8600000US90043,90043,1137
8600000US90044,90044,1137
8600000US90045,90045,2132
8600000US90046,90046,1699
8600000US90047,90047,1241
8600000US90048,90048,2144
8600000US90049,90049,2238
8600000US90056,90056,1826
8600000US90057,90057,1079
8600000US90058,90058,635
8600000US90059,90059,986
8600000US90061,90061,1179
8600000US90062,90062,1255
8600000US90063,90063,1175
8600000US90064,90064,1955
8600000US90065,90065,1318
8600000US90066,90066,1783
8600000US90067,90067,3045
8600000US90068,90068,1770
8600000US90069,90069,1832
8600000US90071,90071,1671
8600000US90073,90073,-
8600000US90077,90077,2566
8600000US90079,90079,-
8600000US90089,90089,-
8600000US90090,90090,-
8600000US90094,90094,3042
8600000US90095,90095,-
8600000US90201,90201,1245
8600000US90210,90210,2488
8600000US90211,90211,1922
8600000US90212,90212,2323
8600000US90220,90220,1233
8600000US90221,90221,1196
8600000US90222,90222,1208
8600000US90230,90230,1789
8600000US90232,90232,1778
8600000US90240,90240,1547
8600000US90241,90241,1402
8600000US90242,90242,1509
8600000US90245,90245,1928
8600000US90247,90247,1290
