Geo ID,Geographic Area Name,Aggregate travel time to work (in minutes):,Less than 10 minutes,10 to 14 minutes,15 to 19 minutes,20 to 24 minutes,25 to 29 minutes,30 to 34 minutes,35 to 44 minutes,45 to 59 minutes,60 or more minutes
8600000US90001,90001,792055,4815,14505,44760,60020,38235,152605,92690,105175,279250
8600000US90002,90002,712095,2955,8860,26485,50080,24950,134255,85660,111330,267520
8600000US90003,90003,1045700,3615,15755,43155,65010,41020,183090,102385,171260,420405
8600000US90004,90004,1001950,5150,18910,43850,78195,26925,314775,102800,168300,243040
8600000US90005,90005,694650,3985,15170,30230,48035,15450,182170,52090,112570,234950
8600000US90006,90006,1052315,5070,18005,46590,63270,17370,243175,82960,201815,374050
8600000US90007,90007,502215,7205,23400,33060,33790,14250,93780,42820,75105,178805
8600000US90008,90008,493505,1315,6840,16765,39895,24800,110795,61085,75410,156595
8600000US90010,90010,64785,140,1800,4365,6680,5335,11910,5310,7925,21320
8600000US90011,90011,1561365,10255,39480,83345,117710,51525,286620,134010,196790,641625
8600000US90012,90012,379620,5370,15410,29505,36220,16300,53250,42945,55905,124715
8600000US90013,90013,158340,2380,5350,8900,11650,6425,26160,6195,35560,55720
8600000US90014,90014,122455,2460,3250,6615,10390,6100,21360,13000,18945,40330
8600000US90015,90015,377190,4560,12345,18960,30930,9115,69810,46710,45755,139010
8600000US90016,90016,703770,3265,15620,26905,62935,24730,170040,78600,134500,187165
8600000US90017,90017,452870,4670,19470,24990,29500,11675,67260,37480,61985,195840
8600000US90018,90018,855830,3625,14450,28725,60835,26410,176700,94480,148075,302530
8600000US90019,90019,1028880,4120,19585,54930,101460,42960,266835,144140,153345,241505
8600000US90020,90020,658575,5225,14500,32720,63980,16430,206340,56720,98420,164240
8600000US90021,90021,30310,505,1100,3345,1060,1325,5670,3570,5155,8575
8600000US90022,90022,878205,7715,24280,49515,79250,63565,189100,72955,142905,248915
8600000US90023,90023,565450,6630,18420,38520,70040,28915,110400,37230,76640,178655
8600000US90024,90024,421295,10595,32100,67270,64355,25260,71445,33210,41735,75320
8600000US90025,90025,643440,12485,41785,70440,87780,35280,116750,67330,110845,100745
8600000US90026,90026,1125920,8455,30770,79095,106595,46685,203415,95165,153825,401920
8600000US90027,90027,689115,9225,22245,43710,63685,45135,128895,64575,127670,183975
8600000US90028,90028,520455,5075,15650,41065,32385,15225,93900,56910,80055,180190
